governorate,district,Sub District,Community,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,Protection,CP,GBV,Health**,Education
Idleb,Harim,Dana,Atma,Karama,"Al Resalah (extension of Doaa, Doaa & Saleh)","36.1474301,36.599059",IS,111,102,84,79,376,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Al Sadaka,"36.122069,36.623221",IS,160,153,136,119,568,,,1,1,,1,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Atma,Karama,Al Safa,"36.27741,36.744144",IS,243,186,192,196,816,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,No,No,No,,Out of Camp
Idleb,Harim,Salqin,Salqin,Kafrina,Al Safsafa,"36.093601,36.493198",IS,485,468,416,364,1733,1,,,,,1,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,No,No,No,MC,
Idleb,Harim,Dana,Aqrabat,Salam,Al Salam,"36.308947,36.660646",IS,539,524,371,354,1787,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,Yes,No,No,MC,
Aleppo,A'zaz,Tall Refaat,Deir Jmal,Azaz,Al Shahba,"36.430844,36.981022",IS,408,292,300,240,1240,0.7,1,0.3,,,,2. Mostly covered,1. Fully covered,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,MC,
Idleb,Harim,Dana,Qah,Liyajlikum,Al Shrouk,"36.366422,36.637459",IS,168,155,151,149,623,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,Out of Camp
Idleb,Harim,Dana,Atma,Karama,Al Shuhada,"36.212903,36.731722",IS,138,161,145,56,500,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,Yes
Idleb,Harim,Salqin,Delbiya,Kafrina,Al Taakhi,"36.061444,36.382064",IS,429,404,327,290,1450,1,,,,,1,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,No,No,No,MC,
Idleb,Harim,Dana,Qah,Qah,Al Tawheed,"36.285712,36.748129",IS,90,76,82,77,324,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Sarmada,Sarmada,Al Ummah,"36.159545,36.622418",IS,140,135,120,105,500,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Al Ummahat,"36.147142,36.570192",IS,93,89,79,69,330,1,,1,1,1,1,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Qah,Qah,Al Waleed,"36.17854,36.626158",IS,231,239,198,144,812,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,Yes,No,No,,Out of Camp
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Al Wdhehee,"36.28339604,36.75548357",IS,75,72,64,56,267,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,
Aleppo,A'zaz,A'zaz,Tatiyeh,Azaz,Al Zeytoun (Olive),"36.623337,37.031981",IS,,,,,3315,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,Yes,No,No,,
Idleb,Harim,Dana,Qah,Qah,Alebaa,"36.378647,36.809717",IS,167,161,142,125,595,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Atma,Karama,Aleman Billah,"36.270489,36.704959",IS,233,226,189,179,828,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Jisr-Ash-Shugur,Darkosh,Dorriyeh,Darkosh,Ali Bin Abi Taleb,"36.082714,36.395855",IS,412,422,315,286,1435,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Aqrabat,Aqrabat,Aqrabat (Ahl Al-Athar),"36.208902,36.728892",IS,172,163,170,140,645,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Ariha,"36.1372,36.8105",IS,69,67,65,64,265,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,Out of Camp
Idleb,Harim,Dana,Qah,Qah,Ataa 2 (Hamad Al Ammar 1/Dar Al Riaya - Orphans),"36.302244,36.686586",IS,210,218,180,46,654,1,0.7,0.8,0.85,,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A,1. Fully covered,Yes,No,No,MC in Alkarama,Yes
Idleb,Harim,Dana,Qah,Qah,Ataa 3 (Al Ansar),"36.306672,36.783807",IS,191,140,205,160,696,1,0.7,0.8,0.9,,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A,1. Fully covered,No,No,No,FC,Available in Alkarama
Idleb,Harim,Dana,Qah,Qah,Ataa 4 (Al Reaya Al Islamiya),"36.396172732,36.666864884",IS,215,239,233,242,929,1,0.65,0.8,0.9,,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A,1. Fully covered,No,No,No,MC in Alkarama,Yes
Idleb,Harim,Dana,Qah,Qah,Ataa 5 (Shabab Al Khayr),"36.192675,36.695845",IS,287,300,260,264,1110,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,Yes,No,No,MC in Alkarama,Available in Alkarama
Idleb,Harim,Dana,Qah,Qah,Ataa 6 (Shabab Al Khayr 3),"36.375672732,36.729564884",IS,369,393,345,372,1479,1,0.6,0.8,0.8,,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A,1. Fully covered,No,No,No,MC in Alkarama,Available in Alkarama
