PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000339,Idleb,Harim,Deir Hassan,Tal Al Karama,"36.1871167,36.7548472",IS,2875,2643,1895,1226,8639,0.5,0.5,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000555,Idleb,Harim,Deir Hassan,Tal Fakhar,"36.19303,36.74706",IS,193,175,142,120,630,0.3,0,1,0,1,0.9,3. Partially covered,Not covered - N/A,1. Fully covered,Not covered - N/A,1. Fully covered,2. Mostly covered
CP000335,Idleb,Harim,Deir Hassan,Zamzam,"36.236666,36.752863",IS,150,100,110,0,360,0.45,0.45,1,1,1,1,3. Partially covered,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000567,Idleb,Harim,Deir Hassan,Al Fan Alshemali,"36.24176,36.73522",IS,548,515,453,402,1918,0.55,0.55,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000441,Idleb,Harim,Deir Hassan,Al Bo Fares,"36.2369917,36.7824639",IS,114,105,80,46,345,0.1,0,1,1,1,1,3. Partially covered,Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000377,Idleb,Harim,Deir Hassan,Al Foqaraa (The Poor),"36.2346472,36.7842361",IS,896,851,607,517,2870,0.4,0,1,1,1,1,3. Partially covered,Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000415,Idleb,Harim,Deir Hassan,Al Ghoraba Homs,"36.238751,36.781131",IS,162,154,110,94,520,0.25,0,1,1,1,1,3. Partially covered,Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000442,Idleb,Harim,Deir Hassan,Al Seraj,"36.2440778,36.7763556",IS,281,262,222,190,955,0.25,0,1,1,1,1,3. Partially covered,Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000443,Idleb,Harim,Deir Hassan,Al Hadaba Al Khadra,"36.2639306,36.763825",IS,198,200,136,132,666,0.61,0.45,1,1,1,1,2. Mostly covered,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000444,Idleb,Harim,Deir Hassan,Al Hader,"36.2684861,36.7478778",IS,58,59,40,39,195,0.8,0.8,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000337,Idleb,Harim,Deir Hassan,Al Mashhad,"36.2699833,36.7499917",IS,145,119,106,98,468,0.6,0.6,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000465,Idleb,Harim,Deir Hassan,Ard Al Matar 2,"36.1914694,36.7551722",IS,115,116,79,76,385,1,0,0,0,0,1,1. Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000464,Idleb,Harim,Deir Hassan,Ard Al Matar,"36.193766,36.754468",IS,195,181,140,120,635,0.4,1,1,1,1,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
