governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Idleb,Harim,Deir Hassan,Al Naief,"36.296282,36.748782",IS,,,,,,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Rahmah Lahl Al Gab (Al Qaqaa),"36.209653,36.665601",IS,328,277,238,199,1042,1,1,0.5,1,0.5,1,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered,3. Partially covered,1. Fully covered
Idleb,Harim,Deir Hassan,Ghetaa Al Rahma 1,"36.165956,36.657787",IS,163,168,147,123,601,1,1,,1,1,1,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Khan Toman,"36.280068,36.704645",IS,,,,,,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Nasaem Al Khayr,"36.214366,36.774317",IS,433,487,389,331,1810,1,1,,1,1,1,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Nour Al Houda,"36.213076,36.685287",IS,324,391,267,198,1180,1,1,,1,1,1,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Qariat Al Iman ,"36.302174,36.730849",IS,,,,,,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Sons of Mehin,"36.249493,36.760724",IS,643,560,610,655,2468,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Ahl Al Balad,"36.277729,36.755846",IS,164,162,140,121,587,1,1,1,0.8,1,,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Nahda,"36.3177745350001,36.7011336000001",IS,460,499,534,520,2119,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Zamzam,"36.199996,36.706463",IS,139,88,104,2,333,1,1,1,1,0.5,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Ebtieen,"36.1887045350001,36.7421736000001",IS,87,79,56,56,278,1,1,1,1,0.5,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Mashhad,"36.1811645350001,36.7420136",IS,142,140,107,83,472,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Reef Aleppo,"36.1407745350001,36.7593336000001",IS,58,67,33,43,202,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Tal Al Karama,"36.1943745350001,36.7625536000001",IS,125,147,81,82,506,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Wdhehee,"36.24321604,36.72528357",IS,92,80,67,54,293,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Al Foqaraa (The Poor),"36.223600207,36.7063965120001",IS,307,287,158,145,897,,1,1,,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Karama,Ahel Al Sham,"36.300047,36.726047",IS,200,198,117,115,630,0.9,1,0.8,1,1,,2. Mostly covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Ahel Halep,"36.346836,36.703266",IS,169,127,110,97,503,1,1,0.8,1,1,1,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Ahrar,"36.228648,36.640012",IS,305,277,274,238,1094,1,1,0.8,1,,1,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Amal Bil Awdah,"36.271983,36.752652",IS,131,139,105,121,496,1,1,0.8,1,,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Karama,Al Aqsa,"36.363769,36.788911",IS,211,143,176,139,670,1,1,0.8,1,1,,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
