PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000335,Idleb,Harim,Deir Hassan,Zamzam,"36.23591618,36.75555566",IS,245,235,190,164,834,1,1,1,0,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000567,Idleb,Harim,Deir Hassan,Al Fan Alshemali *,"36.24182546,36.73586831",IS,1011,970,781,676,3438,0.55,0.55,1,0,1,0,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP000441,Idleb,Harim,Deir Hassan,Al Bo Fares,"36.23723206,36.78219005",IS,198,190,153,131,672,0.95,0.95,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000377,Idleb,Harim,Deir Hassan,Al Foqaraa (The Poor),"36.2364612,36.78072078",IS,1949,1870,1507,1304,6630,1,1,1,0,1,0,,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP000415,Idleb,Harim,Deir Hassan,Al Ghoraba Homs,"36.23453179,36.78390547",IS,138,132,106,92,468,0.3,0,1,0.3,1,1,,3. Partially covered,Not covered - N/A,1.Fully covered,3. Partially covered,1.Fully covered,1.Fully covered
CP000442,Idleb,Harim,Deir Hassan,Al Seraj,"36.24590454,36.77429554",IS,429,411,331,287,1458,0.87,0.87,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000443,Idleb,Harim,Deir Hassan,Al Hadaba Al Khadra,"36.25846112,36.76621556",IS,757,726,585,506,2574,0.72,0.72,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000444,Idleb,Harim,Deir Hassan,Al Hader,"36.26768005,36.7474807",IS,385,369,297,257,1308,0.85,0.85,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000337,Idleb,Harim,Deir Hassan,Al Mashhad,"36.26494926,36.76403234",IS,423,406,327,284,1440,0.61,1,1,1,1,1,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000465,Idleb,Harim,Deir Hassan,Ard Al Matar 2,"36.1918589,36.75431325",IS,84,78,57,56,275,1,0,0,0,0,1,,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000464,Idleb,Harim,Deir Hassan,Ard Al Matar,"36.19309839,36.75575566",IS,266,255,206,179,906,0.81,0.81,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000469,Idleb,Harim,Deir Hassan,Omar Al Faroq,"36.18505592,36.75393559",IS,390,374,301,261,1326,0.93,0.93,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000604,Idleb,Harim,Deir Hassan,Qasr Bin Wardan*,"36.24960614,36.73164355",IS,544,518,777,751,2590,0.8,1,1,1,1,1,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000605,Idleb,Harim,Deir Hassan,Al Ameriah *,"36.2396003,36.74115237",IS,1205,1156,931,806,4098,0.4,0,1,0,1,1,,3. Partially covered,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000606,Idleb,Harim,Deir Hassan,Kafr Kar*,"36.25837029,36.76213997",IS,370,355,286,249,1260,0.8,1,1,0,1,1,,2.Mostly covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000607,Idleb,Harim,Deir Hassan,Horan * ,"36.21268151,36.74485937",IS,357,331,243,239,1170,0.3,0,1,1,1,1,,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000454,Idleb,Harim,Kafr Loseen,Al Farja,"36.2444083,36.7246611",IS,304,336,237,232,1109,1,0.2,0,0,0,1,,1.Fully covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
