PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000383,Idleb,Harim,Karama,Moatakalen Sahl Al Gab,"36.3097705710001,36.689845776",IS,450,513,291,231,1485,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000382,Idleb,Harim,Karama,Al Karim Al Awsat,"36.290741,36.700802",IS,144,162,178,151,635,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000381,Idleb,Harim,Karama,Al Jabal,"36.291006,36.702536",IS,165,184,150,141,640,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000380,Idleb,Harim,Karama,Al Haneen,"36.292732,36.695491",IS,148,174,113,99,534,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000379,Idleb,Harim,Karama,Al Ayade Al Baydaa,"36.296602,36.6997",IS,69,113,88,73,343,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000378,Idleb,Harim,Salqin,Al Fath,"36.1502067,36.4495378",CC,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000377,Idleb,Harim,Deir Hassan,Al Foqaraa (The Poor),"36.223600207,36.7063965120001",IS,100,175,92,92,459,0.4,0,1,1,1,1,3. Partially covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000369,Idleb,Harim,Karama,Act and Impact (Athar),"36.295646,36.705051",PC,302,248,193,184,927,1,1,1,1,0.7,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered
CP000364,Aleppo,A'zaz,Azaz,Azaz Transit/Reception Centre,"36.611164,37.115983",T/RC,196,209,213,278,896,1,1,1,1,1,0.75,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000341,Idleb,Jisr-Ash-Shugur,Darkosh,Ali Bin Abi Taleb,"35.993814,36.304855",IS,216,269,228,196,909,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
