governorate,district,Sub District,Community,cluster,Location Name,longitude,latitude,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Idleb,Harim,Dana,Sarmada,Bab Al Hawa,Taiba City,36.690769,36.182432,"36.182432,36.690769",IS,402,387,345,302,1436,,1,1,1,,1,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,1. Fully covered,"b. 1,000 - 4,999"
Idleb,Harim,Salqin,Kafarna,Kafrina,Ayidoun,36.430266,36.182334,"36.182334,36.430266",PC,546,549,546,431,2072,,1,1,1,,,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,4. Not covered,"b. 1,000 - 4,999"
Idleb,Harim,Salqin,Kafarna,Kafrina,Kadimoon,36.4,36.17,"36.17,36.4",PC,496,447,303,301,1547,,1,1,1,,,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,4. Not covered,"b. 1,000 - 4,999"
Idleb,Harim,Salqin,Kafarna,Kafrina,Samidoon,36.41,36.18,"36.18,36.41",PC,578,570,587,440,2175,,1,1,1,,,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,4. Not covered,"b. 1,000 - 4,999"
Idleb,Harim,Salqin,Salqin,Kafrina,Al Safsafa,36.423798,36.132801,"36.132801,36.423798",IS,489,472,419,367,1747,1,,,,,,1. Fully covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,"b. 1,000 - 4,999"
Idleb,Harim,Salqin,Delbiya,Kafrina,Al Taakhi,36.400164,36.132144,"36.132144,36.400164",IS,421,396,321,285,1423,1,,,,,,1. Fully covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,"b. 1,000 - 4,999"
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Abu Obeida Ben Aljaraah,36.743817,36.240626,"36.240626,36.743817",IS,99,110,520,89,818,1,1,,,,1,1. Fully covered,1. Fully covered,4. Not covered,4. Not covered,4. Not covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Al Rahmah Lahl Al Gab (Al Qaqaa),36.752781,36.236023,"36.236023,36.752781",IS,350,431,181,160,1122,1,1,0.5,1,0.5,1,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered,3. Partially covered,1. Fully covered,"b. 1,000 - 4,999"
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Ghetaa Al Rahma 1,36.743817,36.240626,"36.240626,36.743817",IS,84,79,335,49,547,1,1,,1,1,1,1. Fully covered,1. Fully covered,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Nasaem Al Khayr,36.743817,36.240626,"36.240626,36.743817",IS,437,483,563,478,1961,1,1,,1,1,1,1. Fully covered,1. Fully covered,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,"b. 1,000 - 4,999"
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Nour Al Houda,36.743817,36.240626,"36.240626,36.743817",IS,175,164,178,214,731,1,1,,1,1,1,1. Fully covered,1. Fully covered,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Sons of Mehin,36.735554,36.245013,"36.245013,36.735554",IS,623,600,534,467,2224,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,"b. 1,000 - 4,999"
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Ahl Al Balad,36.741186,36.241069,"36.241069,36.741186",IS,143,126,111,113,493,1,1,1,1,0.5,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Zamzam,36.752863,36.236666,"36.236666,36.752863",IS,117,113,100,88,418,1,1,1,1,0.5,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Al Wdhehee,36.75148357,36.25659604,"36.25659604,36.75148357",IS,67,64,57,50,238,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Atma,Karama,Act and Impact (Athar),36.705051,36.295646,"36.295646,36.705051",IS,287,244,182,157,870,1,1,1,1,1,0.7,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,a. 0 - 999
Idleb,Harim,Dana,Atma,Karama,Ahel Al Sham,36.695657,36.292227,"36.292227,36.695657",IS,240,237,140,138,755,0.9,1,1,1,1,,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Atma,Karama,Ahel Halep,36.699726,36.296196,"36.296196,36.699726",IS,239,179,155,137,710,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
