governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Idleb,Harim,Salam,Al Madiq 2,"36.322265367,36.682919742",IS,79,83,59,58,279,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Qah,Al Magad,"36.2782922,36.8089944",IS,102,104,110,107,423,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Mahabbah,"36.375375,36.772364",IS,232,208,154,151,745,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Manara,"36.264585,36.6958721",IS,273,197,168,164,802,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Al Mashhad,"36.1811645350001,36.7420136",IS,124,70,70,51,315,0.1,1,1,1,0.1,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Idleb,Harim,Salam,Al Midan,"36.336739,36.671332",IS,227,259,178,211,875,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Qah,Al Motasem,"36.242911,36.731429",IS,115,109,79,78,381,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Al Ma'ra,Sanjar,Al Muaysruneh,"35.4948247067398,36.7842338432137",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Qah,Al Muhajreen,"36.286313,36.768762",IS,185,192,158,158,693,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Mustakbal,"36.297669,36.711999",IS,253,263,177,170,863,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Nahda,"36.3177745350001,36.7011336000001",IS,592,637,465,406,2100,0.3,1,1,1,0.3,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Idleb,Harim,Karama,Al Nahda Aleslamia,"36.228928,36.797818",IS,191,198,167,121,677,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Bab Al Hawa,Al Nahdha,"36.106156,36.387444",IS,98,136,137,122,493,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Naief,"36.296282,36.748782",IS,76,79,51,41,247,0.15,1,1,1,0.05,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Idleb,Harim,Salam,Al Nasser,"36.30962,36.73818",IS,367,395,363,369,1494,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Liyajlikum,Al Nawaeer,"36.210279,36.615782",IS,404,520,297,305,1526,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Nour,"36.245673,36.762192",IS,205,204,165,169,987,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Sarmada,Al Nouri,"36.208377,36.599485",IS,424,342,276,243,1285,0.5,1,1,1,1,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Qah,Al Radwan,"36.214582732,36.640624884",IS,81,77,69,59,286,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Al Ma'ra,Sanjar,Al Raffa Al Janobi,"35.5870075050853,36.7415257252436",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Al Raffa Al Shamali,"35.5858658727887,36.8818002503068",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Al Raffa Al Sharqi,"35.5461073379964,36.8588766614769",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Qah,Al Rahmah,"36.386302,36.791668",IS,233,216,148,139,736,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Al Rahmah Lahl Al Gab (Al Qaqaa),"36.209653,36.665601",IS,431,445,331,271,1478,0.1,1,1,1,0.1,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Aleppo,A'zaz,Azaz,Al Rayan,"36.702078,37.0032138",IS,2986,2880,2453,2346,10890,1,2,2,2,1.5,0,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Al Resalah (Al Armuda),"36.649798,37.188062",PC,2953,2777,3204,2754,11688,0.5,0.75,0.75,0.75,0.25,0.75,3. Partially covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,3. Partially covered,2. Mostly covered
Idleb,Harim,Karama,"Al Resalah (extension of Doaa, Doaa & Saleh)","36.330121,36.766569",IS,109,100,82,78,369,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Sarmada,Al Sadaka,"36.131799,36.614381",IS,148,253,102,197,800,0.5,1,1,1,0,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Safa wa Al Marwa,"36.22232,36.636024",IS,241,185,191,193,810,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Big Hir Jamus,Al Safsafa,"36.181181,36.482508",IS,587,456,518,458,2019,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Salam,Al Salam,"36.299527,36.683876",IS,520,494,374,365,1753,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Aleppo,A'zaz,Azaz,Al Shahba,"36.487114,37.085992",IS,342,299,342,251,1234,0.9,0.7,0.1,0.6,0,0.3,2. Mostly covered,2. Mostly covered,3. Partially covered,2. Mostly covered,4. Not covered - N/A,3. Partially covered
Idleb,Harim,Liyajlikum,Al Shrouk,"36.369132,36.627979",IS,125,130,146,141,542,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Shuhada,"36.317343,36.659472",IS,145,168,159,63,535,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Big Hir Jamus,Al Taakhi,"36.066364,36.390104",IS,317,301,325,254,1197,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Qah,Al Tawheed,"36.322642,36.747819",IS,83,75,61,53,272,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Sarmada,Al Ummah,"36.247425,36.702068",IS,144,158,131,142,675,0.5,1,1,1,0,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Bab Al Hawa,Al Ummahat,"36.158152,36.554392",IS,93,89,79,69,330,1,0,1,1,1,0,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
